threshold                precision                recall                   f1_score
0.000000000000000000e+00 8.656812038977122759e-02 9.487786919358452975e-01 1.586598559032812161e-01
1.000000000000000021e-02 2.558909182223987888e-01 7.285590805775202794e-01 3.787529124597803221e-01
2.000000000000000042e-02 2.599487465353587101e-01 7.165754287116773424e-01 3.815018393057508228e-01
2.999999999999999889e-02 2.599790654439219639e-01 7.103114895796651673e-01 3.806408632525796754e-01
4.000000000000000083e-02 2.642205870591058381e-01 7.050506343972425816e-01 3.843896081984810031e-01
5.000000000000000278e-02 2.659562817148211633e-01 6.996723970505063228e-01 3.854116457601016177e-01
5.999999999999999778e-02 2.675068192429616576e-01 6.969832783771382489e-01 3.866245601157831668e-01
7.000000000000000666e-02 2.673511056956084930e-01 6.930456403197062798e-01 3.858541149910140189e-01
8.000000000000000167e-02 2.689227139035211822e-01 6.907833658802061683e-01 3.871338139564090008e-01
8.999999999999999667e-02 2.694453026494877390e-01 6.886811580284064593e-01 3.873432384336297218e-01
1.000000000000000056e-01 2.694865466248182462e-01 6.862588170012058342e-01 3.870016548819016355e-01
1.100000000000000006e-01 2.678224136849369774e-01 6.833242628933636764e-01 3.848187833152046933e-01
1.199999999999999956e-01 2.704282789312486002e-01 6.821611123560734624e-01 3.873141087976637031e-01
1.300000000000000044e-01 2.697022248540732470e-01 6.804217221030615104e-01 3.862890791837179649e-01
1.400000000000000133e-01 2.711473688254805725e-01 6.777859589589269040e-01 3.873399195023783381e-01
1.499999999999999944e-01 2.735476398336949555e-01 6.754169734609597464e-01 3.893901129830540930e-01
1.600000000000000033e-01 2.753485052248582088e-01 6.751181824972521950e-01 3.911610681406463286e-01
1.700000000000000122e-01 2.742994631968451724e-01 6.739657030658087189e-01 3.899087241444239016e-01
1.799999999999999933e-01 2.737345417400187109e-01 6.720022195900161588e-01 3.890093462562467796e-01
1.900000000000000022e-01 2.758519027000387314e-01 6.689609544237069549e-01 3.906258275772898636e-01
2.000000000000000111e-01 2.746653445711452757e-01 6.680325682150440869e-01 3.892771863496168883e-01
2.099999999999999922e-01 2.738358667408650748e-01 6.668800887836006108e-01 3.882483039685892812e-01
2.200000000000000011e-01 2.766063298167684703e-01 6.645004321797868263e-01 3.906146106462256573e-01
2.300000000000000100e-01 2.743628449835182614e-01 6.652474095890557049e-01 3.884997444941607481e-01
2.399999999999999911e-01 2.776450092689790594e-01 6.632625839015696689e-01 3.914338615008690625e-01
2.500000000000000000e-01 2.781180775405145966e-01 6.618433268239587441e-01 3.916556421032025281e-01
2.600000000000000089e-01 2.780002514051753693e-01 6.607975584509823141e-01 3.913555942475960836e-01
