threshold                precision                recall                   f1_score
0.000000000000000000e+00 3.574790954589843802e-03 1.000000000000000000e+00 7.124114688432020559e-03
1.000000000000000021e-02 1.785004291113925501e-01 9.610291214478556832e-01 3.010788276316272993e-01
2.000000000000000042e-02 2.226072967766280775e-01 9.568567190617963680e-01 3.611865809767602076e-01
2.999999999999999889e-02 2.539216689986235620e-01 9.528016988400508369e-01 4.009817063997287434e-01
4.000000000000000083e-02 2.791798800590285512e-01 9.488320474650787650e-01 4.314205933513018953e-01
5.000000000000000278e-02 3.011128030127934729e-01 9.453639380649017099e-01 4.567452819245056417e-01
5.999999999999999778e-02 3.207684259474540833e-01 9.422159618401254599e-01 4.786015312690561352e-01
7.000000000000000666e-02 3.386570767412221961e-01 9.385771147464011532e-01 4.977251377932704890e-01
8.000000000000000167e-02 3.553828934775908888e-01 9.351730319813041925e-01 5.150408307792668783e-01
8.999999999999999667e-02 3.711616792945398036e-01 9.315341848875798858e-01 5.308219698697191902e-01
1.000000000000000056e-01 3.861104821775013241e-01 9.280767465932494575e-01 5.453411086029595900e-01
1.100000000000000006e-01 4.002986371789419295e-01 9.240217263715039264e-01 5.586029603873211569e-01
1.199999999999999956e-01 4.142949081233730513e-01 9.205109325479399196e-01 5.714134304877038772e-01
1.300000000000000044e-01 4.278343584252595755e-01 9.167226899723618372e-01 5.833972822285453663e-01
1.400000000000000133e-01 4.409274650937364814e-01 9.125609586921492600e-01 5.945720453731675459e-01
1.499999999999999944e-01 4.535603550232810699e-01 9.084952673645569909e-01 6.050522889519822645e-01
1.600000000000000033e-01 4.660264660264660241e-01 9.041841406024906380e-01 6.150495955053733033e-01
1.700000000000000122e-01 4.784550008793876930e-01 8.999156982638111257e-01 6.247508982479534900e-01
1.799999999999999933e-01 4.909178155942042765e-01 8.951990694795701753e-01 6.341011734915625864e-01
1.900000000000000022e-01 5.035760630111355551e-01 8.903437163193221870e-01 6.433021326466097367e-01
2.000000000000000111e-01 5.155206579740214679e-01 8.855737320058477691e-01 6.516785111311790279e-01
2.099999999999999922e-01 5.276023773423155205e-01 8.800354280714109967e-01 6.596992240620750403e-01
2.200000000000000011e-01 5.392450372085983989e-01 8.745504796662078029e-01 6.671360890871497196e-01
2.300000000000000100e-01 5.513491552967464404e-01 8.689054646733040954e-01 6.746259258645544987e-01
2.399999999999999911e-01 5.634050021939447372e-01 8.632070941511669204e-01 6.818043896025083317e-01
2.500000000000000000e-01 5.755238941604793323e-01 8.569324839133078964e-01 6.885865813765043031e-01
2.600000000000000089e-01 5.873839351510685702e-01 8.505725048286754131e-01 6.948925727188322021e-01
2.700000000000000178e-01 5.998225848029478113e-01 8.442231968498895567e-01 7.013408390771480594e-01
2.800000000000000266e-01 6.122595497288227939e-01 8.372336225203017568e-01 7.072876099812490658e-01
2.899999999999999800e-01 6.239496641332873406e-01 8.296357951574521161e-01 7.122401678316552243e-01
2.999999999999999889e-01 6.352905269409707678e-01 8.218352167835152322e-01 7.166219252904313386e-01
